theme,type,grammar_focus,text
දෛනික ජීවිතය,clean_sentence,ක්‍රියාපද හා කර්තෘ,පන්ති කාමරයේදී ළමයි පාසල් පොත ලියති.
දෛනික ජීවිතය,clean_sentence,ක්‍රියාපද හා කර්තෘ,වත්තේදී ළමයි පින්තූරය සෙල්ලම් කරති.
දෛනික ජීවිතය,clean_sentence,ක්‍රියාපද හා කර්තෘ,අද වත්තේදී ළමයා මල් පැළය සෙල්ලම් කරයි.
දෛනික ජීවිතය,clean_sentence,ක්‍රියාපද හා කර්තෘ,ක්‍රීඩා පිටියේදී අපි මල් පැළය රැකබලා ගනිමු.
දෛනික ජීවිතය,clean_sentence,ක්‍රියාපද හා කර්තෘ,උදෑසන පන්ති කාමරයේදී අපි කතා පොත ලියමු.
දෛනික ජීවිතය,clean_sentence,ක්‍රියාපද හා කර්තෘ,උදෑසන ක්‍රීඩා පිටියේදී අපි පුවත්පත රැකබලා ගනිමු.
දෛනික ජීවිතය,clean_sentence,ක්‍රියාපද හා කර්තෘ,පුස්තකාලයේදී මිතුරා සටහන ඉගෙන ගනියි.
දෛනික ජීවිතය,clean_sentence,ක්‍රියාපද හා කර්තෘ,අද පන්ති කාමරයේදී ළමයි පින්තූරය සෙල්ලම් කරති.
ප්‍රශ්න,clean_sentence,ප්‍රශ්න වාක්‍ය,ඔබ අද කියවූ පොත කුමක්ද?
දෛනික ජීවිතය,clean_sentence,ක්‍රියාපද හා කර්තෘ,ඊයේ ක්‍රීඩා පිටියේදී මිතුරා සටහන ඉගෙන ගනියි.
දෛනික ජීවිතය,clean_sentence,ක්‍රියාපද හා කර්තෘ,පාසලේදී මිතුරෝ ලිපිය සෙල්ලම් කරති.
ප්‍රශ්න,clean_sentence,ප්‍රශ්න වාක්‍ය,ඔබ පාසලට පැමිණියේ කෙසේද?
දෛනික ජීවිතය,clean_sentence,ක්‍රියාපද හා කර්තෘ,පන්ති කාමරයේදී මිතුරෝ කවිය කියවති.
දෛනික ජීවිතය,clean_sentence,ක්‍රියාපද හා කර්තෘ,ඊයේ පාසලේදී ළමයා කතා පොත ඉගෙන ගනියි.
දෛනික ජීවිතය,clean_sentence,ක්‍රියාපද හා කර්තෘ,පුස්තකාලයේදී මිතුරෝ ගස කියවති.
දෛනික ජීවිතය,clean_sentence,ක්‍රියාපද හා කර්තෘ,පුස්තකාලයේදී මම මල් පැළය ලියමි.
දෛනික ජීවිතය,clean_sentence,ක්‍රියාපද හා කර්තෘ,පන්ති කාමරයේදී අපි ගස කියවමු.
දෛනික ජීවිතය,clean_sentence,ක්‍රියාපද හා කර්තෘ,පාසලේදී අපි පුවත්පත ඉගෙන ගනිමු.
දෛනික ජීවිතය,clean_sentence,ක්‍රියාපද හා කර්තෘ,නිවසේදී ළමයා කවිය අඳියි.
දෛනික ජීවිතය,clean_sentence,ක්‍රියාපද හා කර්තෘ,පන්ති කාමරයේදී ළමයා පුවත්පත සෙල්ලම් කරයි.
දෛනික ජීවිතය,clean_sentence,ක්‍රියාපද හා කර්තෘ,නිවසේදී ළමයා ගස රැකබලා ගනියි.
දෛනික ජීවිතය,clean_sentence,ක්‍රියාපද හා කර්තෘ,නිවසේදී මිතුරා ගස සෙල්ලම් කරයි.
දෛනික ජීවිතය,clean_sentence,ක්‍රියාපද හා කර්තෘ,ක්‍රීඩා පිටියේදී මිතුරෝ ගස සෙල්ලම් කරති.
දෛනික ජීවිතය,clean_sentence,ක්‍රියාපද හා කර්තෘ,උදෑසන ක්‍රීඩා පිටියේදී අපි මල් පැළය සෙල්ලම් කරමු.
විස්තර කිරීම,clean_sentence,නාමපද හා විශේෂණ,පාසල පිරිසිදුව තිබේ.
දෛනික ජීවිතය,clean_sentence,ක්‍රියාපද හා කර්තෘ,උදෑසන පාසලේදී අපි පාසල් පොත අඳිමු.
දෛනික ජීවිතය,clean_sentence,ක්‍රියාපද හා කර්තෘ,ඊයේ නිවසේදී මිතුරා මල් පැළය අඳියි.
දෛනික ජීවිතය,clean_sentence,ක්‍රියාපද හා කර්තෘ,පුස්තකාලයේදී ළමයා කවිය රැකබලා ගනියි.
දෛනික ජීවිතය,clean_sentence,ක්‍රියාපද හා කර්තෘ,ක්‍රීඩා පිටියේදී ළමයා ගස රැකබලා ගනියි.
දෛනික ජීවිතය,clean_sentence,ක්‍රියාපද හා කර්තෘ,පාසලේදී ළමයා පාසල් පොත ඉගෙන ගනියි.
දෛනික ජීවිතය,clean_sentence,ක්‍රියාපද හා කර්තෘ,අද පුස්තකාලයේදී මම ගස ලියමි.
වාක්‍ය සම්බන්ධ කිරීම,clean_sentence,සම්බන්ධක පද,මිතුරාට පොතක් අවශ්‍ය විය නමුත් මම ඔහුට පොත දුන්නෙමි.
දෛනික ජීවිතය,clean_sentence,ක්‍රියාපද හා කර්තෘ,උදෑසන වත්තේදී මිතුරා සටහන උදව් කරයි.
දෛනික ජීවිතය,clean_sentence,ක්‍රියාපද හා කර්තෘ,උදෑසන පාසලේදී මිතුරෝ ලිපිය ලියති.
දෛනික ජීවිතය,clean_sentence,ක්‍රියාපද හා කර්තෘ,දහවල් නිවසේදී මිතුරා පින්තූරය ඉගෙන ගනියි.
දෛනික ජීවිතය,clean_sentence,ක්‍රියාපද හා කර්තෘ,පාසලේදී මිතුරෝ කතා පොත ලියති.
විස්තර කිරීම,clean_sentence,නාමපද හා විශේෂණ,පුස්තකාලය සන්සුන්ය.
දෛනික ජීවිතය,clean_sentence,ක්‍රියාපද හා කර්තෘ,අද ක්‍රීඩා පිටියේදී මම පුවත්පත සෙල්ලම් කරමි.
දෛනික ජීවිතය,clean_sentence,ක්‍රියාපද හා කර්තෘ,නිවසේදී මිතුරා කතා පොත ලියයි.
වාක්‍ය සම්බන්ධ කිරීම,clean_sentence,සම්බන්ධක පද,ගුරුවරිය පැහැදිලි කළාය එවිට සිසුහු සවන් දුන්හ.
දෛනික ජීවිතය,clean_sentence,ක්‍රියාපද හා කර්තෘ,උදෑසන පුස්තකාලයේදී මිතුරා චිත්‍රය සෙල්ලම් කරයි.
දෛනික ජීවිතය,clean_sentence,ක්‍රියාපද හා කර්තෘ,දහවල් නිවසේදී ළමයි පින්තූරය අඳිති.
දෛනික ජීවිතය,clean_sentence,ක්‍රියාපද හා කර්තෘ,පාසලේදී අපි කවිය ඉගෙන ගනිමු.
දෛනික ජීවිතය,clean_sentence,ක්‍රියාපද හා කර්තෘ,සවස ක්‍රීඩා පිටියේදී මම මල් පැළය ඉගෙන ගනිමි.
දෛනික ජීවිතය,clean_sentence,ක්‍රියාපද හා කර්තෘ,අද නිවසේදී ළමයා මල් පැළය අඳියි.
දෛනික ජීවිතය,clean_sentence,ක්‍රියාපද හා කර්තෘ,පාසලේදී මම කතා පොත රැකබලා ගනිමි.
දෛනික ජීවිතය,clean_sentence,ක්‍රියාපද හා කර්තෘ,හෙට ක්‍රීඩා පිටියේදී මම කතා පොත අඳිමි.
දෛනික ජීවිතය,clean_sentence,ක්‍රියාපද හා කර්තෘ,පුස්තකාලයේදී මිතුරා ගස උදව් කරයි.
දෛනික ජීවිතය,clean_sentence,ක්‍රියාපද හා කර්තෘ,අද ක්‍රීඩා පිටියේදී මිතුරා පුවත්පත උදව් කරයි.
දෛනික ජීවිතය,clean_sentence,ක්‍රියාපද හා කර්තෘ,නිවසේදී මම ගස ලියමි.
දෛනික ජීවිතය,clean_sentence,ක්‍රියාපද හා කර්තෘ,පන්ති කාමරයේදී ළමයි කතා පොත රැකබලා ගනිති.
දෛනික ජීවිතය,clean_sentence,ක්‍රියාපද හා කර්තෘ,පාසලේදී මම ගස ලියමි.
දෛනික ජීවිතය,clean_sentence,ක්‍රියාපද හා කර්තෘ,උදෑසන පන්ති කාමරයේදී අපි ගස ඉගෙන ගනිමු.
දෛනික ජීවිතය,clean_sentence,ක්‍රියාපද හා කර්තෘ,පුස්තකාලයේදී ළමයි පින්තූරය සෙල්ලම් කරති.
දෛනික ජීවිතය,clean_sentence,ක්‍රියාපද හා කර්තෘ,උදෑසන පුස්තකාලයේදී ළමයි මල් පැළය සෙල්ලම් කරති.
දෛනික ජීවිතය,clean_sentence,ක්‍රියාපද හා කර්තෘ,දහවල් ක්‍රීඩා පිටියේදී මම ගස ලියමි.
දෛනික ජීවිතය,clean_sentence,ක්‍රියාපද හා කර්තෘ,පාසලේදී මම චිත්‍රය රැකබලා ගනිමි.
දෛනික ජීවිතය,clean_sentence,ක්‍රියාපද හා කර්තෘ,පුස්තකාලයේදී මිතුරෝ පුවත්පත අඳිති.
දෛනික ජීවිතය,clean_sentence,ක්‍රියාපද හා කර්තෘ,උදෑසන පුස්තකාලයේදී අපි ලිපිය ඉගෙන ගනිමු.
දෛනික ජීවිතය,clean_sentence,ක්‍රියාපද හා කර්තෘ,සවස පුස්තකාලයේදී ළමයි පින්තූරය රැකබලා ගනිති.
විස්තර කිරීම,clean_sentence,නාමපද හා විශේෂණ,වත්ත ඉතා ලස්සනය.
දෛනික ජීවිතය,clean_sentence,ක්‍රියාපද හා කර්තෘ,ක්‍රීඩා පිටියේදී අපි ලිපිය රැකබලා ගනිමු.
දෛනික ජීවිතය,clean_sentence,ක්‍රියාපද හා කර්තෘ,සවස වත්තේදී අපි ලිපිය ලියමු.
දෛනික ජීවිතය,clean_sentence,ක්‍රියාපද හා කර්තෘ,දහවල් නිවසේදී අපි මල් පැළය ඉගෙන ගනිමු.
දෛනික ජීවිතය,clean_sentence,ක්‍රියාපද හා කර්තෘ,පුස්තකාලයේදී ළමයි ලිපිය ලියති.
දෛනික ජීවිතය,clean_sentence,ක්‍රියාපද හා කර්තෘ,පාසලේදී මම ලිපිය ඉගෙන ගනිමි.
දෛනික ජීවිතය,clean_sentence,ක්‍රියාපද හා කර්තෘ,ඊයේ පුස්තකාලයේදී ළමයි මල් පැළය කියවති.
දෛනික ජීවිතය,clean_sentence,ක්‍රියාපද හා කර්තෘ,ක්‍රීඩා පිටියේදී මිතුරෝ කවිය ඉගෙන ගනිති.
දෛනික ජීවිතය,clean_sentence,ක්‍රියාපද හා කර්තෘ,පාසලේදී ළමයි සටහන කියවති.
දෛනික ජීවිතය,clean_sentence,ක්‍රියාපද හා කර්තෘ,පන්ති කාමරයේදී ළමයි පුවත්පත ඉගෙන ගනිති.
දෛනික ජීවිතය,clean_sentence,ක්‍රියාපද හා කර්තෘ,දහවල් ක්‍රීඩා පිටියේදී මිතුරා පින්තූරය සෙල්ලම් කරයි.
දෛනික ජීවිතය,clean_sentence,ක්‍රියාපද හා කර්තෘ,ඊයේ ක්‍රීඩා පිටියේදී ළමයි පින්තූරය රැකබලා ගනිති.
විස්තර කිරීම,clean_sentence,නාමපද හා විශේෂණ,ගස ප්‍රියජනකය.
දෛනික ජීවිතය,clean_sentence,ක්‍රියාපද හා කර්තෘ,ක්‍රීඩා පිටියේදී ළමයා චිත්‍රය අඳියි.
දෛනික ජීවිතය,clean_sentence,ක්‍රියාපද හා කර්තෘ,වත්තේදී අපි ගස ඉගෙන ගනිමු.
දෛනික ජීවිතය,clean_sentence,ක්‍රියාපද හා කර්තෘ,පුස්තකාලයේදී ළමයි චිත්‍රය කියවති.
දෛනික ජීවිතය,clean_sentence,ක්‍රියාපද හා කර්තෘ,වත්තේදී මම ලිපිය සෙල්ලම් කරමි.
දෛනික ජීවිතය,clean_sentence,ක්‍රියාපද හා කර්තෘ,උදෑසන වත්තේදී ළමයා චිත්‍රය සෙල්ලම් කරයි.
දෛනික ජීවිතය,clean_sentence,ක්‍රියාපද හා කර්තෘ,උදෑසන පුස්තකාලයේදී මිතුරෝ ගස උදව් කරති.
දෛනික ජීවිතය,clean_sentence,ක්‍රියාපද හා කර්තෘ,නිවසේදී අපි පාසල් පොත සෙල්ලම් කරමු.
දෛනික ජීවිතය,clean_sentence,ක්‍රියාපද හා කර්තෘ,පාසලේදී මිතුරෝ ලිපිය උදව් කරති.
දෛනික ජීවිතය,clean_sentence,ක්‍රියාපද හා කර්තෘ,උදෑසන පාසලේදී අපි ලිපිය ඉගෙන ගනිමු.
දෛනික ජීවිතය,clean_sentence,ක්‍රියාපද හා කර්තෘ,අද පුස්තකාලයේදී ළමයි පාසල් පොත රැකබලා ගනිති.
දෛනික ජීවිතය,clean_sentence,ක්‍රියාපද හා කර්තෘ,අද පන්ති කාමරයේදී අපි පාසල් පොත ලියමු.
දෛනික ජීවිතය,clean_sentence,ක්‍රියාපද හා කර්තෘ,සවස වත්තේදී ළමයා පුවත්පත රැකබලා ගනියි.
දෛනික ජීවිතය,clean_sentence,ක්‍රියාපද හා කර්තෘ,පාසලේදී ළමයා චිත්‍රය අඳියි.
දෛනික ජීවිතය,clean_sentence,ක්‍රියාපද හා කර්තෘ,උදෑසන පන්ති කාමරයේදී ළමයි පුවත්පත අඳිති.
දෛනික ජීවිතය,clean_sentence,ක්‍රියාපද හා කර්තෘ,දහවල් පුස්තකාලයේදී මම කවිය සෙල්ලම් කරමි.
දෛනික ජීවිතය,clean_sentence,ක්‍රියාපද හා කර්තෘ,ක්‍රීඩා පිටියේදී ළමයි පින්තූරය ලියති.
දෛනික ජීවිතය,clean_sentence,ක්‍රියාපද හා කර්තෘ,අද වත්තේදී මිතුරා කවිය කියවයි.
දෛනික ජීවිතය,clean_sentence,ක්‍රියාපද හා කර්තෘ,නිවසේදී අපි සටහන සෙල්ලම් කරමු.
දෛනික ජීවිතය,clean_sentence,ක්‍රියාපද හා කර්තෘ,පාසලේදී ළමයි ගස අඳිති.
දෛනික ජීවිතය,clean_sentence,ක්‍රියාපද හා කර්තෘ,නිවසේදී මිතුරා පින්තූරය සෙල්ලම් කරයි.
දෛනික ජීවිතය,clean_sentence,ක්‍රියාපද හා කර්තෘ,පන්ති කාමරයේදී මිතුරෝ මල් පැළය උදව් කරති.
විස්තර කිරීම,clean_sentence,නාමපද හා විශේෂණ,ක්‍රීඩා පිටිය විශාලය.
දෛනික ජීවිතය,clean_sentence,ක්‍රියාපද හා කර්තෘ,උදෑසන ක්‍රීඩා පිටියේදී අපි කතා පොත අඳිමු.
දෛනික ජීවිතය,clean_sentence,ක්‍රියාපද හා කර්තෘ,වත්තේදී මිතුරෝ කතා පොත අඳිති.
දෛනික ජීවිතය,clean_sentence,ක්‍රියාපද හා කර්තෘ,අද ක්‍රීඩා පිටියේදී මිතුරෝ ලිපිය ලියති.
දෛනික ජීවිතය,clean_sentence,ක්‍රියාපද හා කර්තෘ,පුස්තකාලයේදී මිතුරෝ පාසල් පොත ලියති.
දෛනික ජීවිතය,clean_sentence,ක්‍රියාපද හා කර්තෘ,නිවසේදී අපි ලිපිය ලියමු.
දෛනික ජීවිතය,clean_sentence,ක්‍රියාපද හා කර්තෘ,පුස්තකාලයේදී මිතුරෝ සටහන ඉගෙන ගනිති.
දෛනික ජීවිතය,clean_sentence,ක්‍රියාපද හා කර්තෘ,පුස්තකාලයේදී අපි කතා පොත ලියමු.
දෛනික ජීවිතය,clean_sentence,ක්‍රියාපද හා කර්තෘ,පුස්තකාලයේදී මම සටහන රැකබලා ගනිමි.
දෛනික ජීවිතය,clean_sentence,ක්‍රියාපද හා කර්තෘ,වත්තේදී මිතුරා ලිපිය කියවයි.
දෛනික ජීවිතය,clean_sentence,ක්‍රියාපද හා කර්තෘ,සවස පන්ති කාමරයේදී ළමයි කතා පොත ඉගෙන ගනිති.
දෛනික ජීවිතය,clean_sentence,ක්‍රියාපද හා කර්තෘ,පාසලේදී මිතුරෝ මල් පැළය ඉගෙන ගනිති.
දෛනික ජීවිතය,clean_sentence,ක්‍රියාපද හා කර්තෘ,පන්ති කාමරයේදී මිතුරෝ ලිපිය කියවති.
දෛනික ජීවිතය,clean_sentence,ක්‍රියාපද හා කර්තෘ,නිවසේදී මම මල් පැළය සෙල්ලම් කරමි.
දෛනික ජීවිතය,clean_sentence,ක්‍රියාපද හා කර්තෘ,අද පන්ති කාමරයේදී ළමයි සටහන රැකබලා ගනිති.
දෛනික ජීවිතය,clean_sentence,ක්‍රියාපද හා කර්තෘ,වත්තේදී අපි කවිය ලියමු.
විස්තර කිරීම,clean_sentence,නාමපද හා විශේෂණ,ගඟ කුඩාය.
දෛනික ජීවිතය,clean_sentence,ක්‍රියාපද හා කර්තෘ,සවස ක්‍රීඩා පිටියේදී මිතුරා පුවත්පත ලියයි.
දෛනික ජීවිතය,clean_sentence,ක්‍රියාපද හා කර්තෘ,නිවසේදී අපි පින්තූරය ඉගෙන ගනිමු.
දෛනික ජීවිතය,clean_sentence,ක්‍රියාපද හා කර්තෘ,ඊයේ පන්ති කාමරයේදී අපි පුවත්පත කියවමු.
දෛනික ජීවිතය,clean_sentence,ක්‍රියාපද හා කර්තෘ,සවස පුස්තකාලයේදී ළමයි චිත්‍රය ඉගෙන ගනිති.
දෛනික ජීවිතය,clean_sentence,ක්‍රියාපද හා කර්තෘ,සවස පාසලේදී ළමයා පුවත්පත ලියයි.
දෛනික ජීවිතය,clean_sentence,ක්‍රියාපද හා කර්තෘ,හෙට නිවසේදී ළමයා ලිපිය කියවයි.
දෛනික ජීවිතය,clean_sentence,ක්‍රියාපද හා කර්තෘ,උදෑසන වත්තේදී මිතුරෝ සටහන ලියති.
දෛනික ජීවිතය,clean_sentence,ක්‍රියාපද හා කර්තෘ,වත්තේදී ළමයා චිත්‍රය ඉගෙන ගනියි.
දෛනික ජීවිතය,clean_sentence,ක්‍රියාපද හා කර්තෘ,පන්ති කාමරයේදී මිතුරා පාසල් පොත අඳියි.
දෛනික ජීවිතය,clean_sentence,ක්‍රියාපද හා කර්තෘ,අද පාසලේදී මිතුරා සටහන ලියයි.
දෛනික ජීවිතය,clean_sentence,ක්‍රියාපද හා කර්තෘ,හෙට පන්ති කාමරයේදී අපි මල් පැළය අඳිමු.
දෛනික ජීවිතය,clean_sentence,ක්‍රියාපද හා කර්තෘ,ඊයේ නිවසේදී ළමයා සටහන ඉගෙන ගනියි.
වාක්‍ය සම්බන්ධ කිරීම,clean_sentence,සම්බන්ධක පද,මම පාඩම් කරමි නමුත් පසුව සෙල්ලම් කරමි.
දෛනික ජීවිතය,clean_sentence,ක්‍රියාපද හා කර්තෘ,වත්තේදී මම කවිය ඉගෙන ගනිමි.
විස්තර කිරීම,clean_sentence,නාමපද හා විශේෂණ,පන්ති කාමරය සන්සුන්ය.
දෛනික ජීවිතය,clean_sentence,ක්‍රියාපද හා කර්තෘ,ක්‍රීඩා පිටියේදී මිතුරා ලිපිය කියවයි.
දෛනික ජීවිතය,clean_sentence,ක්‍රියාපද හා කර්තෘ,අද පන්ති කාමරයේදී ළමයි පාසල් පොත අඳිති.
දෛනික ජීවිතය,clean_sentence,ක්‍රියාපද හා කර්තෘ,ඊයේ වත්තේදී මම මල් පැළය අඳිමි.
දෛනික ජීවිතය,clean_sentence,ක්‍රියාපද හා කර්තෘ,හෙට නිවසේදී මිතුරෝ ගස උදව් කරති.
දෛනික ජීවිතය,clean_sentence,ක්‍රියාපද හා කර්තෘ,ඊයේ වත්තේදී මම පුවත්පත ලියමි.
දෛනික ජීවිතය,clean_sentence,ක්‍රියාපද හා කර්තෘ,හෙට පුස්තකාලයේදී ළමයි මල් පැළය ලියති.
දෛනික ජීවිතය,clean_sentence,ක්‍රියාපද හා කර්තෘ,පුස්තකාලයේදී ළමයා ලිපිය ලියයි.
දෛනික ජීවිතය,clean_sentence,ක්‍රියාපද හා කර්තෘ,සවස පාසලේදී මිතුරා කතා පොත සෙල්ලම් කරයි.
දෛනික ජීවිතය,clean_sentence,ක්‍රියාපද හා කර්තෘ,ක්‍රීඩා පිටියේදී මිතුරෝ සටහන ඉගෙන ගනිති.
දෛනික ජීවිතය,clean_sentence,ක්‍රියාපද හා කර්තෘ,පාසලේදී අපි ලිපිය කියවමු.
දෛනික ජීවිතය,clean_sentence,ක්‍රියාපද හා කර්තෘ,හෙට නිවසේදී ළමයි ගස ඉගෙන ගනිති.
දෛනික ජීවිතය,clean_sentence,ක්‍රියාපද හා කර්තෘ,ක්‍රීඩා පිටියේදී අපි කතා පොත ඉගෙන ගනිමු.
විස්තර කිරීම,clean_sentence,නාමපද හා විශේෂණ,ගඟ ළමයින්ට ප්‍රයෝජනවත්ය.
දෛනික ජීවිතය,clean_sentence,ක්‍රියාපද හා කර්තෘ,උදෑසන ක්‍රීඩා පිටියේදී මම පුවත්පත ලියමි.
දෛනික ජීවිතය,clean_sentence,ක්‍රියාපද හා කර්තෘ,අද පන්ති කාමරයේදී ළමයා පින්තූරය ලියයි.
දෛනික ජීවිතය,clean_sentence,ක්‍රියාපද හා කර්තෘ,ක්‍රීඩා පිටියේදී මිතුරෝ ලිපිය උදව් කරති.
දෛනික ජීවිතය,clean_sentence,ක්‍රියාපද හා කර්තෘ,හෙට නිවසේදී මම කවිය අඳිමි.
දෛනික ජීවිතය,clean_sentence,ක්‍රියාපද හා කර්තෘ,පන්ති කාමරයේදී අපි කතා පොත රැකබලා ගනිමු.
දෛනික ජීවිතය,clean_sentence,ක්‍රියාපද හා කර්තෘ,පාසලේදී ළමයා පින්තූරය ඉගෙන ගනියි.
දෛනික ජීවිතය,clean_sentence,ක්‍රියාපද හා කර්තෘ,හෙට පන්ති කාමරයේදී ළමයි සටහන සෙල්ලම් කරති.
දෛනික ජීවිතය,clean_sentence,ක්‍රියාපද හා කර්තෘ,ඊයේ පුස්තකාලයේදී ළමයි පුවත්පත ලියති.
දෛනික ජීවිතය,clean_sentence,ක්‍රියාපද හා කර්තෘ,හෙට පුස්තකාලයේදී මිතුරා පාසල් පොත සෙල්ලම් කරයි.
දෛනික ජීවිතය,clean_sentence,ක්‍රියාපද හා කර්තෘ,ඊයේ වත්තේදී ළමයා ලිපිය ලියයි.
දෛනික ජීවිතය,clean_sentence,ක්‍රියාපද හා කර්තෘ,වත්තේදී අපි කවිය රැකබලා ගනිමු.
දෛනික ජීවිතය,clean_sentence,ක්‍රියාපද හා කර්තෘ,අද පුස්තකාලයේදී ළමයා කවිය සෙල්ලම් කරයි.
විස්තර කිරීම,clean_sentence,නාමපද හා විශේෂණ,අපේ ගම ප්‍රියජනකය.
දෛනික ජීවිතය,clean_sentence,ක්‍රියාපද හා කර්තෘ,සවස පුස්තකාලයේදී ළමයි පුවත්පත අඳිති.
දෛනික ජීවිතය,clean_sentence,ක්‍රියාපද හා කර්තෘ,සවස පාසලේදී මිතුරෝ පින්තූරය ඉගෙන ගනිති.
දෛනික ජීවිතය,clean_sentence,ක්‍රියාපද හා කර්තෘ,දහවල් පන්ති කාමරයේදී ළමයි ගස කියවති.
දෛනික ජීවිතය,clean_sentence,ක්‍රියාපද හා කර්තෘ,පාසලේදී මිතුරා සටහන ඉගෙන ගනියි.
දෛනික ජීවිතය,clean_sentence,ක්‍රියාපද හා කර්තෘ,දහවල් නිවසේදී ළමයි පාසල් පොත අඳිති.
දෛනික ජීවිතය,clean_sentence,ක්‍රියාපද හා කර්තෘ,නිවසේදී අපි පාසල් පොත කියවමු.
දෛනික ජීවිතය,clean_sentence,ක්‍රියාපද හා කර්තෘ,හෙට පාසලේදී මම කතා පොත සෙල්ලම් කරමි.
දෛනික ජීවිතය,clean_sentence,ක්‍රියාපද හා කර්තෘ,නිවසේදී මම පාසල් පොත රැකබලා ගනිමි.
දෛනික ජීවිතය,clean_sentence,ක්‍රියාපද හා කර්තෘ,පන්ති කාමරයේදී ළමයා කතා පොත ඉගෙන ගනියි.
දෛනික ජීවිතය,clean_sentence,ක්‍රියාපද හා කර්තෘ,පුස්තකාලයේදී මම සටහන ලියමි.
දෛනික ජීවිතය,clean_sentence,ක්‍රියාපද හා කර්තෘ,පුස්තකාලයේදී ළමයා පින්තූරය කියවයි.
දෛනික ජීවිතය,clean_sentence,ක්‍රියාපද හා කර්තෘ,උදෑසන ක්‍රීඩා පිටියේදී මිතුරෝ චිත්‍රය ලියති.
දෛනික ජීවිතය,clean_sentence,ක්‍රියාපද හා කර්තෘ,නිවසේදී ළමයා පාසල් පොත ලියයි.
දෛනික ජීවිතය,clean_sentence,ක්‍රියාපද හා කර්තෘ,දහවල් පාසලේදී අපි මල් පැළය අඳිමු.
දෛනික ජීවිතය,clean_sentence,ක්‍රියාපද හා කර්තෘ,අද පන්ති කාමරයේදී මිතුරෝ පාසල් පොත උදව් කරති.
දෛනික ජීවිතය,clean_sentence,ක්‍රියාපද හා කර්තෘ,උදෑසන නිවසේදී මම කවිය කියවමි.
දෛනික ජීවිතය,clean_sentence,ක්‍රියාපද හා කර්තෘ,ක්‍රීඩා පිටියේදී මිතුරෝ චිත්‍රය උදව් කරති.
දෛනික ජීවිතය,clean_sentence,ක්‍රියාපද හා කර්තෘ,හෙට පාසලේදී ළමයා කතා පොත රැකබලා ගනියි.
දෛනික ජීවිතය,clean_sentence,ක්‍රියාපද හා කර්තෘ,පන්ති කාමරයේදී ළමයි කතා පොත සෙල්ලම් කරති.
දෛනික ජීවිතය,clean_sentence,ක්‍රියාපද හා කර්තෘ,නිවසේදී අපි ලිපිය රැකබලා ගනිමු.
දෛනික ජීවිතය,clean_sentence,ක්‍රියාපද හා කර්තෘ,හෙට ක්‍රීඩා පිටියේදී ළමයි ගස ඉගෙන ගනිති.
දෛනික ජීවිතය,clean_sentence,ක්‍රියාපද හා කර්තෘ,උදෑසන වත්තේදී මිතුරෝ මල් පැළය ඉගෙන ගනිති.
දෛනික ජීවිතය,clean_sentence,ක්‍රියාපද හා කර්තෘ,සවස පන්ති කාමරයේදී ළමයා ලිපිය ඉගෙන ගනියි.
විස්තර කිරීම,clean_sentence,නාමපද හා විශේෂණ,අපේ ගම පිරිසිදුව තිබේ.
දෛනික ජීවිතය,clean_sentence,ක්‍රියාපද හා කර්තෘ,හෙට පන්ති කාමරයේදී ළමයි මල් පැළය කියවති.
දෛනික ජීවිතය,clean_sentence,ක්‍රියාපද හා කර්තෘ,දහවල් පන්ති කාමරයේදී ළමයා කතා පොත කියවයි.
දෛනික ජීවිතය,clean_sentence,ක්‍රියාපද හා කර්තෘ,දහවල් නිවසේදී ළමයි පින්තූරය කියවති.
වාක්‍ය සම්බන්ධ කිරීම,clean_sentence,සම්බන්ධක පද,අපි පුස්තකාලයට ගියෙමු පසුව පොත් කිහිපයක් කියවූවෙමු.
දෛනික ජීවිතය,clean_sentence,ක්‍රියාපද හා කර්තෘ,ක්‍රීඩා පිටියේදී මිතුරෝ මල් පැළය උදව් කරති.
දෛනික ජීවිතය,clean_sentence,ක්‍රියාපද හා කර්තෘ,පුස්තකාලයේදී ළමයා ලිපිය සෙල්ලම් කරයි.
දෛනික ජීවිතය,clean_sentence,ක්‍රියාපද හා කර්තෘ,ක්‍රීඩා පිටියේදී අපි කවිය කියවමු.
දෛනික ජීවිතය,clean_sentence,ක්‍රියාපද හා කර්තෘ,ක්‍රීඩා පිටියේදී ළමයි චිත්‍රය කියවති.
දෛනික ජීවිතය,clean_sentence,ක්‍රියාපද හා කර්තෘ,අද පුස්තකාලයේදී අපි ලිපිය රැකබලා ගනිමු.
දෛනික ජීවිතය,clean_sentence,ක්‍රියාපද හා කර්තෘ,වත්තේදී අපි පාසල් පොත සෙල්ලම් කරමු.
දෛනික ජීවිතය,clean_sentence,ක්‍රියාපද හා කර්තෘ,ඊයේ පාසලේදී මිතුරෝ පින්තූරය අඳිති.
දෛනික ජීවිතය,clean_sentence,ක්‍රියාපද හා කර්තෘ,හෙට ක්‍රීඩා පිටියේදී අපි පුවත්පත ඉගෙන ගනිමු.
දෛනික ජීවිතය,clean_sentence,ක්‍රියාපද හා කර්තෘ,වත්තේදී ළමයා ගස සෙල්ලම් කරයි.
දෛනික ජීවිතය,clean_sentence,ක්‍රියාපද හා කර්තෘ,දහවල් නිවසේදී අපි ලිපිය කියවමු.
