what students written,remarks,ground_truth
පුදුමයි,correct,පුදුමයි
පුංචි,correct,පුංචි
දැණුනා,correct,දැණුනා
සිනිඳු,correct,සිනිඳු
වුණා,correct,වුණා
අලුත්,correct,අලුත්
මුළු,correct,මුළු
අත්තටු,correct,අත්තටු
ඔබ පරිසරයට අපූරු සුන්දරත්වයක් ගෙන දෙන,correct,ඔබ පරිසරයට අපූරු සුන්දරත්වයක් ගෙන දෙන
මම ගසක් වෙමි.,correct,මම ගසක් වෙමි.
වාතය ලබා දීමට මම සහය වෙමි,Punctuation,වාතය ලබා දීමට මම සහය වෙමි.
මම වටිනා දෙල් ගසක් වෙමි,Punctuation,මම වටිනා දෙල් ගසක් වෙමි.
"1. මිනිසාට අවශ්‍ය ආහාර , සෙවණ, සිසිලස හා පිරිසිදු",correct,"1. මිනිසාට අවශ්‍ය ආහාර, සෙවණ, සිසිලස හා පිරිසිදු"
අමතක නොකරමි.,correct,අමතක නොකරමි.
"සතුනට අවශ්‍ය ආහාර, වාසස්ථාන ලබා දීමට මම",correct,"සතුනට අවශ්‍ය ආහාර, වාසස්ථාන ලබා දීමට මම"
මම ගසක් වෙමි.,correct,මම ගසක් වෙමි.
"1. මිනිසාට අවශ්‍ය ආහාර , සෙවණ, සිසිලස හා පිරිසිදු",correct,"1. මිනිසාට අවශ්‍ය ආහාර, සෙවණ, සිසිලස හා පිරිසිදු"
වාතය ලබා දීමට මම සහය වෙමි,Punctuation,වාතය ලබා දීමට මම සහය වෙමි.
"2. සතුනට අවශ්‍ය ආහාර, වාසස්ථාන ලබා දීමට මම",correct,"2. සතුනට අවශ්‍ය ආහාර, වාසස්ථාන ලබා දීමට මම"
අමතක නොකරමි,Punctuation,අමතක නොකරමි.
3. ඔබ පරිසරයට අපූරු සුන්දරත්වයක් ගෙන දෙන,correct,3. ඔබ පරිසරයට අපූරු සුන්දරත්වයක් ගෙන දෙන
මම වටිනා දෙල් ගසක් වෙමි.,correct,මම වටිනා දෙල් ගසක් වෙමි.
අපගේ දෙවැනි මව් වැනි මගේ ගුරුතුමිය අප,correct,අපගේ දෙවැනි මව් වැනි මගේ ගුරුතුමිය අප
1. වර්ණවත් සාරිවලින් සැරසී ඇය උදයම පාසලට,correct,1. වර්ණවත් සාරිවලින් සැරසී ඇය උදයම පාසලට
පැමිණෙයි,correct,පැමිණෙයි
මගේ ආදරණීය ගුරුතුමිය,correct,මගේ ආදරණීය ගුරුතුමිය
2. යහපත් ගුණ ධර්ම හා අපට අවශ්‍ය විවිධ විෂය,correct,2. යහපත් ගුණ ධර්ම හා අපට අවශ්‍ය විවිධ විෂය
කොටස් ඇය මැණවින් උගන්වයි.,correct,කොටස් ඇය මැණවින් උගන්වයි.
මම හඳ මත පා තැබුවෙමි,Punctuation,මම හඳ මත පා තැබුවෙමි.
1. ගුරුත්වාකර්ෂණය අඩු යැයි දැන සිටි සඳහි දී,Vowel/diacritic,1. ගුරුත්වාකර්ෂණය අඩු යැයි දැන සිටි සඳෙහි දී
මා පාවී යන ආකාරය මම අත් දුටු වෙමි,Punctuation,මා පාවී යන ආකාරය මම අත් දුටු වෙමි.
තැන තැන වූ විශාල වලවල් දුටු මම පුදුමයට,correct,තැන තැන වූ විශාල වලවල් දුටු මම පුදුමයට
පත් වුණෙමි,Punctuation,පත් වුණෙමි.
හිරු කිරණ ලැබීමත් සමඟ සඳ ආලෝකමත් වූ,correct,හිරු කිරණ ලැබීමත් සමඟ සඳ ආලෝකමත් වූ
අයුරු මම දුටුවෙමි,Punctuation,අයුරු මම දුටුවෙමි
ඔරලෝසුව මමයි,Punctuation,ඔරලෝසුව මමයි.
1. නිසි කලට වැඩ කරන ඔබට අවැසි වේලාව,correct,1. නිසි කලට වැඩ කරන ඔබට අවැසි වේලාව
මම නිවැරදිව ලබා දෙමි.,correct,මම නිවැරදිව ලබා දෙමි.
"2 පැය කටුව ,මිනිත්තු කටුව, තප්පර කටුව හා මම",correct,"2 පැය කටුව, මිනිත්තු කටුව, තප්පර කටුව හා මම"
විහිසුරුවම වැඩ කරමි.,correct,විහිසුරුවම වැඩ කරමි.
3 නිවසේ බිත්තියක රැඳී සිටින මා ඔබ බලන,correct,3 නිවසේ බිත්තියක රැඳී සිටින මා ඔබ බලන
වාරයක් පාසා මම සතුටු වෙමි.,correct,වාරයක් පාසා මම සතුටු වෙමි.
යහපත් ආහාර රටාවකට හුරු වෙමු.,correct,යහපත් ආහාර රටාවකට හුරු වෙමු.
අපි දිනකට නියමිත ප්‍රධාන ආහාර වේල් තුන,correct,අපි දිනකට නියමිත ප්‍රධාන ආහාර වේල් තුන
නිසි කළට ගෙන  යහපත් ආහාර රටාවකට හුරු,correct,නිසි කළට ගෙන යහපත් ආහාර රටාවකට හුරු
වෙමු,correct,වෙමු
"2 තෙල්, මිරිස්, ලුණු, සීනි අධික ආහාර මෙන්ම",correct,"2 තෙල්, මිරිස්, ලුණු, සීනි අධික ආහාර මෙන්ම"
ක්ෂණික ආහාර භාවිතයෙන් ඈත් වී  අපි යහපත්,correct,ක්ෂණික ආහාර භාවිතයෙන් ඈත් වී අපි යහපත්
ආහාර රටාවකට හුරු වෙමු.,correct,ආහාර රටාවකට හුරු වෙමු.
3 හැකි සෑම විටම පෝෂ්‍යදායී ආහාර වේලක්,correct,3 හැකි සෑම විටම පෝෂ්‍යදායී ආහාර වේලක්
ගෙන අපි යහපත් ආහාර රටාවකට හුරු වෙමු.,correct,ගෙන අපි යහපත් ආහාර රටාවකට හුරු වෙමු.
ගෘහය අසළ තෘණ භූමියක් තියෙ,missing word/letter,ගෘහය අසළ තෘණ භූමියක් තියෙයි
ගෘහය අසළ තෘණ භූමියක් තියෙ,Punctuation,ගෘහය අසළ තෘණ භූමියක් තියෙයි.
2 මේ කෘතිය කියවන්න,Punctuation,2 මේ කෘතිය කියවන්න.
3 වෘත්තයක් අඳින්න,Punctuation,3 වෘත්තයක් අඳින්න.
කාලයේ වටිනාකම,correct,කාලයේ වටිනාකම
1 ගෙවී ගිය කාලය නැවත ලබා ගත නොහැකි නිසා,correct,1 ගෙවී ගිය කාලය නැවත ලබා ගත නොහැකි නිසා
කාලය රන් හා සමාන බව අපි දනිමු.,correct,කාලය රන් හා සමාන බව අපි දනිමු.
"2 ක්‍රීඩාවේ යෙදුනු ධාවකයෙකුටත්, ශල්‍ය කර්මයක  යෙදෙන",correct,"2 ක්‍රීඩාවේ යෙදුනු ධාවකයෙකුටත්, ශල්‍ය කර්මයක යෙදෙන"
"රෝගියෙකුටත් , බරපතළ රිය අනතුරකදීත් කාලයේ",correct,"රෝගියෙකුටත්, බරපතළ රිය අනතුරකදීත් කාලයේ"
වටිනාකම ගැන අපි දනිමු.,correct,වටිනාකම ගැන අපි දනිමු.
"දරුවෙකු මෙළොව  බිහිවන විටත්,විවිධ සුභ කටයුතු",correct,"දරුවෙකු මෙළොව බිහිවන විටත්, විවිධ සුභ කටයුතු"
සදහාද වැදගත් වන කාලය අපි නිසි ලෙස,Retroflex,සඳහාද වැදගත් වන කාලය අපි නිසි ලෙස
ප්‍රයෝජනයට ගනිමු.,correct,ප්‍රයෝජනයට ගනිමු.
මගේ ගෙවත්‍තේ පලදාව ලබා ගන්නා දවස ළඟයි,Punctuation,මගේ ගෙවත්‍තේ පලදාව ලබා ගන්නා දවස ළඟයි.
"1 මගේ ගෙවත්තේ සෑම පැළයකම, වැලකම වූ ළපටි",correct,"1 මගේ ගෙවත්තේ සෑම පැළයකම, වැලකම වූ ළපටි"
"ගෙඩි, කරල් ළඟම දවසක හොඳ පලඳාවක් වන බව",Retroflex,"ගෙඩි, කරල් ළඟම දවසක හොඳ පලදාවක් වන බව"
මම දනිමි.,correct,මම දනිමි.
2 එම අස්වැන්න රැකගැනීමට මෙම දිනාවල මම,correct,2 එම අස්වැන්න රැකගැනීමට මෙම දිනාවල මම
බොහෝ වෙහෙසෙමි.,correct,බොහෝ වෙහෙසෙමි.
3 කෘමි උවදුරෙන් මෙන් ද කුරුලු කොබෙයියන්ගෙන් ද,correct,3 කෘමි උවදුරෙන් මෙන් ද කුරුලු කොබෙයියන්ගෙන් ද
ආරක්ෂා කර ගනිමින් නුදුරු දිනයක මම සරු,correct,ආරක්ෂා කර ගනිමින් නුදුරු දිනයක මම සරු
පලදාව ලබා ගනිමි.,correct,පලදාව ලබා ගනිමි.
මම මහ මුහුද  වෙමි.,correct,මම මහ මුහුද වෙමි.
නිල්වන් ජලකඳක්  දරා සිටින මම විශාල මත්ස්‍ය,missing word/letter,නිල්වන් ජලකඳක් දරා සිටින මම විශාල මත්ස්‍යයන්
යන් පිරිසකට රැකවරණය සලසමි.,correct,යන් පිරිසකට රැකවරණය සලසමි.
ලොකු කුඩා කවුරුත් ප්‍රිය කරන මහ සයුර  මා,correct,ලොකු කුඩා කවුරුත් ප්‍රිය කරන මහ සයුර මා
වන අතර මම බොහෝ ආඩම්බරයෙන් කල්,correct,වන අතර මම බොහෝ ආඩම්බරයෙන් කල්
ගෙවමි.,correct,ගෙවමි.
"රටවල් අතර විශාල නැව්, බෝට්ටු යාත්‍රා",correct,"රටවල් අතර විශාල නැව්, බෝට්ටු යාත්‍රා"
කරවීමට ඉඩ ලබාදෙමින් මම ප්‍රවාහනයට ද,Word boundary,කරවීමට ඉඩ ලබා දෙමින් මම ප්‍රවාහනයට ද
උදවු කරමි.,correct,උදවු කරමි.
"ලුණු නිපදවීම, ධීවර කර්මාන්තය, සංචාරක",correct,"ලුණු නිපදවීම, ධීවර කර්මාන්තය, සංචාරක"
කර්මාන්තය මම ඍජුවම දායක වෙමි.,correct,කර්මාන්තය මම ඍජුවම දායක වෙමි.
මා හා ජීවත් වන සියලු ජීවීන් සමඟ,correct,මා හා ජීවත් වන සියලු ජීවීන් සමඟ
මම ඉතා කුළුපගව කටයුතු කරමි.,correct,මම ඉතා කුළුපගව කටයුතු කරමි.
මා ගිය විනෝද චාරිකාව,correct,මා ගිය විනෝද චාරිකාව
දිය ඇළි දැක මම සතුටු වුණෙමි,Punctuation,දිය ඇළි දැක මම සතුටු වුණෙමි.
3 මල් වතු සහ තේ වතු කඩා හැලෙන,correct,3 මල් වතු සහ තේ වතු කඩා හැලෙන
නැරඹීමට විනෝද චාරිකාවක් ගියෙමි,Punctuation,නැරඹීමට විනෝද චාරිකාවක් ගියෙමි.
මම පවුලේ අය සමඟ නුවරඑළියේ සිරි,correct,මම පවුලේ අය සමඟ නුවරඑළියේ සිරි
නැරඹීමට ගියෙමි,Punctuation,නැරඹීමට ගියෙමි.
මා ගිය චාරිකාවේ සීත කඳු සහ දිය ඇළි,correct,මා ගිය චාරිකාවේ සීත කඳු සහ දිය ඇළි
මාලය,correct,මාලය
ශෛල,correct,ශෛල
කේතලය,correct,කේතලය
ගුරුතුමා,correct,ගුරුතුමා
සීගිරිය,correct,සීගිරිය
කෑරලා,correct,කෑරලා
වැස්ස,correct,වැස්ස
"1 කැඩී බිදී ගිය ජල නළ පද්ධති, ජල කරාම",correct,"1 කැඩී බිදී ගිය ජල නළ පද්ධති, ජල කරාම"
3 මිනිස් පරිභෝජනයට ජලය අවශ්‍ය වන බව,correct,3 මිනිස් පරිභෝජනයට ජලය අවශ්‍ය වන බව
අපි වැළකී සිටිමු.,correct,අපි වැළකී සිටිමු.
"2. ජලයට සතුන්ව මළ මුත්‍රා, කුණු කසළ දැමීමෙන්",correct,"2. ජලයට සතුන්ව මළ මුත්‍රා, කුණු කසළ දැමීමෙන්"
පිළිසකර කර අපි ජල සම්පත සුරකිමු.,correct,පිළිසකර කර අපි ජල සම්පත සුරකිමු.
මම හඳ මත පා තැබුවෙමි.,correct,මම හඳ මත පා තැබුවෙමි.
ගුරුත්වාකර්ෂණය අඩු යැයි දැන සිටි සඳහි දී,Vowel/diacritic,ගුරුත්වාකර්ෂණය අඩු යැයි දැන සිටි සඳෙහි දී
මා පාවී යන ආකාරය මම අත් දුටුවෙමි.,correct,මා පාවී යන ආකාරය මම අත් දුටුවෙමි.
තැන තැන වූ විශාල වලවල් දුටු මම,correct,තැන තැන වූ විශාල වලවල් දුටු මම
පුදුමයට පත් වුණෙමි.,correct,පුදුමයට පත් වුණෙමි.
හිරු කිරණ ලැබීමත් සමඟ සඳ ආලෝකමත්,correct,හිරු කිරණ ලැබීමත් සමඟ සඳ ආලෝකමත්
වූ ආකාරය මම දුටුවෙමි,Punctuation,වූ ආකාරය මම දුටුවෙමි.
නඩත්තු කරමින් අපි පොදු දේපළ සුරැකීමු.,correct,නඩත්තු කරමින් අපි පොදු දේපළ සුරැකීමු.
"2 අවෂ්‍යලෙස කඩා බිද නොදමින්, නිසි ලෙස",Retroflex,"2 අවශ්‍යලෙස කඩා බිද නොදමින්, නිසි ලෙස"
"2 අවෂ්‍යලෙස කඩා බිද නොදමින්, නිසි ලෙස",Word boundary,"2 අවශ්‍ය ලෙස කඩා බිද නොදමින්, නිසි ලෙස"
"පාසල, පන්සල, බැංකුව, බස් නැවතුම වැනි",correct,"පාසල, පන්සල, බැංකුව, බස් නැවතුම වැනි"
"පොදු දේපළ පිරිසිදුව, පිළිවෙලට තබා",correct,"පොදු දේපළ පිරිසිදුව, පිළිවෙලට තබා"
ගනිමින් අපි ඒවා සුරකිමු.,correct,ගනිමින් අපි ඒවා සුරකිමු.
පොදු දේපළ සුරකිමු.,correct,පොදු දේපළ සුරකිමු.
3 මෙවැනි ස්ථානවල අගය සැමට වට හා,correct,3 මෙවැනි ස්ථානවල අගය සැමට වට හා
දී අපි පොදු දේපළ සුරැකීමට දායද,correct,දී අපි පොදු දේපළ සුරැකීමට දායද
යහපත් ආහාර රටාවකට,correct,යහපත් ආහාර රටාවකට
හරු වෙමු.,correct,හරු වෙමු.
1 අපි දිනකට නියමිත ප්‍රධාන ආහාර වේල්,correct,1 අපි දිනකට නියමිත ප්‍රධාන ආහාර වේල්
තුන නිසි කළට ගෙන  යහපත්,correct,තුන නිසි කළට ගෙන යහපත්
ආහාර රටාවකට හුරු වෙමු.,correct,ආහාර රටාවකට හුරු වෙමු.
"තෙල්, මිරිස්,සීනි, ලුණු අධික ආහාර මෙන්ම",correct,"තෙල්, මිරිස්, සීනි, ලුණු අධික ආහාර මෙන්ම"
ක්ෂණික ආහාර ආහාර වලින් ඈත් වී ඇපි,Vowel/diacritic,ක්ෂණික ආහාර ආහාර වලින් ඈත් වී අපි
යහපත් ආහාර රටාවකට හුරු වෙමු,Punctuation,යහපත් ආහාර රටාවකට හුරු වෙමු.
2 හැකි සෑම විටම පෝෂ්‍ය දායී ආහාර,missing word/letter,2 හැකි සෑම විටම පෝෂ්‍යදායී ආහාර
ඔරලෝසුව මමයි.,correct,ඔරලෝසුව මමයි.
නිසි කළට වැඩ කිරීමට මම  ඔබට වේලාව,correct,නිසි කළට වැඩ කිරීමට මම ඔබට වේලාව
කියා දෙමි.,correct,කියා දෙමි.
"පැය කටුව ,මිනිත්තු කටුව, තත්පර කටුව සමඟ",correct,"පැය කටුව, මිනිත්තු කටුව, තත්පර කටුව සමඟ"
මම  සහයෝගයෙන් වැඩ කරමි.,correct,මම සහයෝගයෙන් වැඩ කරමි.
බිත්තියක රැඳී සිටින මම ඔබ බලන,correct,බිත්තියක රැඳී සිටින මම ඔබ බලන
වාරයක් පාසා සතුටු වෙමි.,correct,වාරයක් පාසා සතුටු වෙමි.
යුගල පද භාවිතයෙන් වැකි සාදමු .,correct,යුගල පද භාවිතයෙන් වැකි සාදමු.
අයියා සහ අක්කා අනම් මනම් කතා කරති.,correct,අයියා සහ අක්කා අනම් මනම් කතා කරති.
ගමේ මිනිස්සු වාද විවාද කරති.,correct,ගමේ මිනිස්සු වාද විවාද කරති.
යාචකයාට ළමයි විහිළු තහළු කරති.,correct,යාචකයාට ළමයි විහිළු තහළු කරති.
"මැජික් කරුවා ගේ වේදිකාවේ ""අරුම පුදුම මැජික්""",correct,"මැජික් කරුවා ගේ වේදිකාවේ ""අරුම පුදුම මැජික්"""
යනුවෙන් පුවරුවක් තිබෙයි.,correct,යනුවෙන් පුවරුවක් තිබෙයි.
තාත්තා අලුත් අවුරුදු දවසට පෙර අස්සක් මුල්ලක් නෑර,correct,තාත්තා අලුත් අවුරුදු දවසට පෙර අස්සක් මුල්ලක් නෑර
පිරිසිදු කරයි.,correct,පිරිසිදු කරයි.
ලොකු පොඩි කවුරුත් ප්‍රිය කරන මහ,correct,ලොකු පොඩි කවුරුත් ප්‍රිය කරන මහ
නිල්වන් ජලකඳක්  දරා සිටින මම,correct,නිල්වන් ජලකඳක් දරා සිටින මම
විශාල මත්ස්‍යයන් රැකරණය සළසමි,Punctuation,විශාල මත්ස්‍යයන් රැකරණය සළසමි.
කළ් ගෙවමි.,Retroflex,කල් ගෙවමි.
සයුර වන මා බොහෝ ආඩම්බරයෙන්,correct,සයුර වන මා බොහෝ ආඩම්බරයෙන්
"රටවල් අතර බොහෝ විශාල නැව්,",correct,"රටවල් අතර බොහෝ විශාල නැව්,"
බෝට්ටු යාත්‍රා කරන්නට මම ඉඩ ලබා,correct,බෝට්ටු යාත්‍රා කරන්නට මම ඉඩ ලබා
අසා ලිවීම,correct,අසා ලිවීම
1 කෘෂි කර්මාන්තයේ  දි කෘතිම කෘමි,correct,1 කෘෂි කර්මාන්තයේ දි කෘතිම කෘමි
නාශක භාවිතයෙන් වැළකීම වැදගත්,correct,නාශක භාවිතයෙන් වැළකීම වැදගත්
2 රූපවාහිනිය ශ්‍රවය දෘශ්‍ය සන්නිවේදන,correct,2 රූපවාහිනිය ශ්‍රවය දෘශ්‍ය සන්නිවේදන
උපකරණයකි.,correct,උපකරණයකි.
3 නළුවෝ නෘත්‍ය ශාලාවට ප්‍රවිෂ්ට වෙති.,correct,3 නළුවෝ නෘත්‍ය ශාලාවට ප්‍රවිෂ්ට වෙති.
සියලු දෙනා ගැන නිතර සොයා බලයි.,correct,සියලු දෙනා ගැන නිතර සොයා බලයි.
දබරැගිල්ල,Retroflex,දබරැඟිල්ල
දබරැගිල්ල,Retroflex,දබරැඟිල්ල
දබරැගිල්ල,Retroflex,දබරැඟිල්ල
මැදැගිල්ල,Retroflex,මැදැඟිල්ල
මැදැගිල්ල,Retroflex,මැදැඟිල්ල
මැදැගිල්ල,Retroflex,මැදැඟිල්ල
ගිණිමැල,correct,ගිණිමැල
කෙකටිය,correct,කෙකටිය
මේසය,correct,මේසය
බෝතලය,correct,බෝතලය
වෘත්තය,correct,වෘත්තය
ධෛර්ය,correct,ධෛර්ය
ක්‍රමය,correct,ක්‍රමය
ගාථාව,correct,ගාථාව
වීමර්ෂණ,correct,වීමර්ෂණ
පොළඟා,correct,පොළඟා
ප්‍රහේලිකාව,correct,ප්‍රහේලිකාව
නිරූවණය,Retroflex,නිරූපණය
නිරූපණය,correct,නිරූපණය
ප්‍රශ්නාර්ථ ලකුණ (?),correct,ප්‍රශ්නාර්ථ ලකුණ (? )
* යම් වාක්‍යයකින් ප්‍රශ්නයක් අසන්නේ නම්,correct,* යම් වාක්‍යයකින් ප්‍රශ්නයක් අසන්නේ නම්
* ප්‍රශ්න පදය කුමන ස්ථානයේ තිබුණ ද,correct,* ප්‍රශ්න පදය කුමන ස්ථානයේ තිබුණ ද
වාක්‍යය  අවසානයේ ? යොදයි.,correct,වාක්‍යය අවසානයේ? යොදයි.
"විස්මයාදී ලකුණ, හර්ෂයාදී ලකුණ, තිත් හුල",correct,"විස්මයාදී ලකුණ, හර්ෂයාදී ලකුණ, තිත් හුල"
පුදුමයක් හැඟවීමේ දී,correct,පුදුමයක් හැඟවීමේ දී
පාර්ථනාවක දී,correct,පාර්ථනාවක දී
සතුටක දී,correct,සතුටක දී
ශෝකයක්‍ දී,Vowel/diacritic,ශෝකයක දී
"කැඩී බිදී ගිය නළ පද්ධති, ජල කරාම අලුත්වැඩියා",correct,"කැඩී බිදී ගිය නළ පද්ධති, ජල කරාම අලුත්වැඩියා"
කර අපි ජල සම්පත සුරකිමු.,correct,කර අපි ජල සම්පත සුරකිමු.
"සත්ත්ව මළ මුත්‍රා, කර්මාන්තශාලා වල  අපද්‍රව්‍ය අපි",correct,"සත්ත්ව මළ මුත්‍රා, කර්මාන්තශාලා වල අපද්‍රව්‍ය අපි"
ජලයට මුසු නොකර අපි ජල සම්පත සුරකිමු.,correct,ජලයට මුසු නොකර අපි ජල සම්පත සුරකිමු.
මිනිස් පරිභෝජනයට සීමිත වූ ජලයේ අගය,correct,මිනිස් පරිභෝජනයට සීමිත වූ ජලයේ අගය
සැමට කියා දී අපි ජල සම්පත සුරකිමු.,correct,සැමට කියා දී අපි ජල සම්පත සුරකිමු.
මම හඳ මතට පා තැබුවෙමි,Punctuation,මම හඳ මතට පා තැබුවෙමි.
ගුරුත්වාකර්ෂණය අඩු යැයි දැන සිටි සඳහි දී මා,Vowel/diacritic,ගුරුත්වාකර්ෂණය අඩු යැයි දැන සිටි සඳහි දී මා
පාවී යන ආකාරය මම දත් දුටුවෙමි.,Retroflex,පාවී යන ආකාරය මම අත් දුටුවෙමි.
තැන තැන වූ විශාල වලවල් දුටු මම පුදුමයට පත්,correct,තැන තැන වූ විශාල වලවල් දුටු මම පුදුමයට පත්
වුණෙමි.,correct,වුණෙමි.
හිරු කිරණ දැවී මත් සමඟ සඳ ආලෝකමත් වූ අයුරු,missing word/letter,හිරු කිරණ දැවීමත් සමඟ සඳ ආලෝකමත් වූ අයුරු
අකාරාදි පිළිවෙළට ලියන්න,Punctuation,අකාරාදි පිළිවෙළට ලියන්න.
"යසිදු, සෙත්වි, ඉෂාන්,මින්තක, ශස්මිණ.",correct,"යසිදු, සෙත්වි, ඉෂාන්, මින්තක, ශස්මිණ."
"සඳැසි, බවිඳු,වත්මා, හිරුන්, නෙතුමි.",correct,"සඳැසි, බවිඳු, වත්මා, හිරුන්, නෙතුමි."
"චාතූර්, බෙවින්දි, ටුනාල්, සෙනිරු, යුහස්",correct,"චාතූර්, බෙවින්දි, ටුනාල්, සෙනිරු, යුහස්"
"විනුදි, තෂ්මිල, ඉමිර, චෙනුල්, කෙමිඳු",correct,"විනුදි, තෂ්මිල, ඉමිර, චෙනුල්, කෙමිඳු"
"සෙනුදි, දෙසදි , ඕෂධී, මනීෂා, යෙතුල",correct,"සෙනුදි, දෙසදි, ඕෂධී, මනීෂා, යෙතුල"
"චතුලි, සුමෙත්යා, දහම්සා, ටෙනායා, රිතික",correct,"චතුලි, සුමෙත්යා, දහම්සා, ටෙනායා, රිතික"
කෘෂි කර්මාන්තයේ  දි කෘතිම කෘමිනාශක,correct,කෘෂි කර්මාන්තයේ දි කෘතිම කෘමිනාශක
භාවිතයෙන් වැළකීම වැදගත් ය.,correct,භාවිතයෙන් වැළකීම වැදගත් ය.
රූපවාහිනිය ශ්‍රවය දෘශ්‍ය සන්නිවේදන,correct,රූපවාහිනිය ශ්‍රවය දෘශ්‍ය සන්නිවේදන
වෛද්‍යවරයා,correct,වෛද්‍යවරයා
2 පුණ්‍ය,correct,2 පුණ්‍ය
3 රාජ්‍ය,correct,3 රාජ්‍ය
4 රම්‍ය,correct,4 රම්‍ය
5 චෛත්‍යය,correct,5 චෛත්‍යය
රුවල,correct,රුවල
ගුහාව,correct,ගුහාව
පුටුව,correct,පුටුව
දුන්න,correct,දුන්න
කුඩය,correct,කුඩය
මුදුව,correct,මුදුව
මා කැමතිම කතා පොත,correct,මා කැමතිම කතා පොත
1. මාර්ටින් වික්‍රමසිංහ මහතා රචනා කල මඩොල්,correct,1. මාර්ටින් වික්‍රමසිංහ මහතා රචනා කල මඩොල්
දූව නම් ළමා නව කතා පොතට මම බොහෝ,correct,දූව නම් ළමා නව කතා පොතට මම බොහෝ
ප්‍රිය කරමි,Punctuation,ප්‍රිය කරමි.
2. එහි ඇති අපූරු සිතුවම් නිසා මම එයට,correct,2. එහි ඇති අපූරු සිතුවම් නිසා මම එයට
වඩාත් ඇලුම් කරමි,Punctuation,වඩාත් ඇලුම් කරමි.
3. උපාලි හා ජින්නා අතර සිදුවන වීරක්‍රියා,missing word/letter,3. උපාලි හා ජින්නා අතර සිදුවන වීර ක්‍රියා
නිසා මම  එයට  වඩ  වඩාත් ඇලුම්,correct,නිසා මම එයට වඩ වඩාත් ඇලුම්
රූපවාහිනිය,correct,රූපවාහිනිය
1. ප්‍රබල සන්නිවේදන මාධ්‍යයක් වන රූපවාහිනිය,correct,1. ප්‍රබල සන්නිවේදන මාධ්‍යයක් වන රූපවාහිනිය
ජෝන් ලොගී බෙයාර්ඩ් මහතා ලොවට,correct,ජෝන් ලොගී බෙයාර්ඩ් මහතා ලොවට
හදුන්වා දුන්නේය,missing word/letter,හදුන්වා දුන්නේ ය
හදුන්වා දුන්නේය,Punctuation,හදුන්වා දුන්නේ ය.
2 ශ්‍රව්‍ය දෘශ්‍ය සන්නිවේදන මාධ්‍යයක් වන,correct,2 ශ්‍රව්‍ය දෘශ්‍ය සන්නිවේදන මාධ්‍යයක් වන
රූපවාහිනිය ලොව තොරතුරු එසැණින් අප,correct,රූපවාහිනිය ලොව තොරතුරු එසැණින් අප
අප  වෙත  ගෙන එයි.,correct,අප වෙත ගෙන එයි.
"3 ආගමික , දේශාපාලික , ක්‍රීඩා,ආර්ථික හා",correct,"3 ආගමික, දේශාපාලික, ක්‍රීඩා, ආර්ථික හා"
සාමාජීය තොරතුරු ගෙන එන රූපවාහිනිය,correct,සාමාජීය තොරතුරු ගෙන එන රූපවාහිනිය
අපේ යහපැවත්මට  අපි භාවිතා කරමු,Punctuation,අපේ යහපැවත්මට අපි භාවිතා කරමු.
මා ගිය විනෝද ගමනක්,correct,මා ගිය විනෝද ගමනක්
1. මම පවුලේ අය සමඟ මාතලේ රිවස්ටන්,correct,1. මම පවුලේ අය සමඟ මාතලේ රිවස්ටන්
සිරි නැරඹීමට විනෝද චාරිකාවක් ගියෙමි,correct,සිරි නැරඹීමට විනෝද චාරිකාවක් ගියෙමි.
"2. මීදුමෙන් වැසුණු කඳු  පන්ති,කඩා හැලෙන",correct,"2. මීදුමෙන් වැසුණු කඳු පන්ති, කඩා හැලෙන"
දිය ඇලි එහි ඇති ගස් වැල් දැක මම,Retroflex,දිය ඇළි එහි ඇති ගස් වැල් දැක මම
සතුටු වුණෙමි.,correct,සතුටු වුණෙමි.
"3. නටා, ගයා, වයා ආ ගිය එම විනෝද ගමනෙන්",correct,"3. නටා, ගයා, වයා ආ ගිය එම විනෝද ගමනෙන්"
මම බොහෝ සතුටට පත් වුණෙමි.,correct,මම බොහෝ සතුටට පත් වුණෙමි.
යුගල උඩු කොමාව.,correct,යුගල උඩු කොමාව.
යුගල උඩු කොමාව යොදනු,correct,යුගල උඩු කොමාව යොදනු
ලැබෙයි,Vowel/diacritic,ලැබෙයි
*  කෙනෙක් කියන ලද දෙයකට,correct,* කෙනෙක් කියන ලද දෙයකට
සහ යමකින් උපුටා ගැනීමේදී,correct,සහ යමකින් උපුටා ගැනීමේදී
"""මමත් එනවා."" නංගී කිව්වා ය.",correct,"""මමත් එනවා."" නංගී කිව්වා ය."
උදෑසන අසිරිමත් කරයි.,correct,උදෑසන අසිරිමත් කරයි.
මඳ සුළඟට පිපී  නැළවෙන  පූෂ්පයෝ උදෑසන අසිරිමත්,correct,මඳ සුළඟට පිපී නැළවෙන පූෂ්පයෝ උදෑසන අසිරිමත්
උදෑසනක  අසිරිය.,correct,උදෑසනක අසිරිය.
මීදුම් සලු පෙරවු කඳු අතරින් නැග එන හිරුකුමරා,Word boundary,මීදුම් සලු පෙරවු කඳු අතරින් නැග එන හිරු කුමරා
කරති.,correct,කරති.
"දසතින් ඇසෙන කුරුලු ගීතය, සුදු කොක් රෑනක සේ",correct,"දසතින් ඇසෙන කුරුලු ගීතය, සුදු කොක් රෑනක සේ"
